Job Code,City,State,County,Bidding Contractors,Job Status
DCK,,Missouri,Kansas City,,In Production
DSL,,Arizona,Grand Canyon,,Completed
DET,,Florida,TOHO,JR Davis,Completed
CWB,Frisco,Texas,,,Quote Out for approval
CXY,,Georgia,Houston County,,Completed
DDA,Gainesville,Florida,Alachua County,Watson Construction,Completed
DCO,Charlotte,North Carolina,Mecklenburg County,,Completed
CVP,,,,,Opportunity  Lost
CWR,,Florida,Pasco County,,Completed
CYB,,Arizona,Pinal County,,Completed
DJY,,Texas,El Paso County,,Completed
CXZ,,Oregon,Redmond,,In Production
CYE,,California,San Mateo,,Opportunity  Lost
DBL,,Utah,Syracuse,,In Production
DOM,,Texas,El Paso County,,Completed
EFI,,North Carolina,Brunswick County,,Completed
DSS,Tucson,Arizona,,,Completed
DJC,,Kansas,City of Wichita,,In Production
DAP,,Texas,Dallas,,In Production
CYI,Parrish,Florida,Manatee County,,Completed
CXX,Gainesville,Florida,Alachua County,,Completed
CXY,Warner Robins,Georgia,,,Completed
DAW,,North Carolina,Brunswick County,,In Production
DCR,Bradenton,Florida,Manatee County,ET Makenzie Co.,Completed
CYL,Parrish,Florida,Manatee County,,Completed
DGJ,,Texas,Dallas,,In Production
DGN,Yuba City,California,Yuba County,Sanco Pipelines,Completed
CYN,Gainesville,Florida,Alachua County,,Completed
DHC,,California,Yuba County,,Completed
DBR,Sarasota,Florida,Manatee County,WoodRuff and Sons,Completed
DAT,,California,Cupertino County,,Opportunity  Lost
DCQ,Parrish,Florida,Manatee County,RIPA,Completed
CSJ,,Texas,Frisco,,Opportunity  Lost
CYO,Jacksonville,Florida,Duval County,,Completed
DUP,Kissimmee,Florida,TOHO,WD Site Development,Completed
DHR,Summerville,South Carolina,Dorchester County,,In Production
CYV,Ash,North Carolina,,,Completed
DKC,,Florida,Osceola County,Brockman,Completed
EGU,,North Carolina,Brunswick County,,In Production
DCB,Gainesville,Florida,Alachua County,WG Johnson,Completed
DDX,Scottsdale,Arizona,,,Completed
DAF,Rockledge,Florida,Brevard County,,In Production
DRW,Mesa,Arizona,Mesa,Rhino Contracting,Completed
DYG,Lakeland,Florida,Polk County,,Completed
DAX,,Florida,TOHO,,Completed
DER,,Texas,Garland,,In Production
CZW,Jacksonville,Florida,Duval County,,Completed
DEO,,Texas,El Paso County,,Completed
DFU,,Florida,Manatee County,DEME,Completed
CZC,Live Oak,Florida,Suwannee,,Completed
CZD,Calabash,North Carolina,Brunswick County,,Completed
CZG,Southport,North Carolina,Brunswick County,,In Production
CZI,Bradenton,Florida,Manatee County,,In Production
CZJ,Jacksonville,Florida,Duval County,,Completed
DJU,,Florida,TOHO,Assured Excavating Inc,Completed
ECN,Kissimmee,Florida,Osceola County,"Brockman, John M Hall, RCS Construction Company, WalRose",Completed
DMA,,Florida,TOHO,Hughes Brother Construcion,Completed
DDQ,,Arizona,Chandler,MGC Contractors,Completed
CZR,,Florida,TOHO,Blue Ox,Completed
DFD,,Florida,Manatee County,RIPA,Completed
DNW,Marana,Arizona,Pima County,,Completed
DNG,,California,Galt,Conco West Inc.,Completed
DXC,St. Cloud,Florida,Osceola County,JR Davis,Completed
DAA,Palmetto,Florida,Manatee County,,Completed
DKL,,Arizona,Phoenix,,Completed
EHD,,Florida,Osceola County,Florida Civil Construction,Released to Production
CYE,,California,San Mateo,,Completed
CZQ,Gainesville,Florida,Alachua County,,Completed
DCW,Parrish,Florida,Manatee County,The Kerney Company,Completed
DEQ,,Florida,Dunedin,TLC Diversified,Completed
DRR,St. Cloud,Florida,Osceola County,Blue Ox,Completed
DEU,,Florida,Manatee County,Rusty Plumbing,Completed
DCH,Bradenton,Florida,Manatee County,DEME,Completed
DHS,,Florida,Manatee County,ET Makenzie Co.,Completed
DTW,St. Cloud,Florida,Osceola County,JR Davis,Completed
DIF,Phoenix,Arizona,Phoenix,Felix Construction,Completed
CXA,,Florida,Manatee County,,Completed
DTC,Tucson,Arizona,Pima County,Granite Construction,Completed
DAJ,Boliva,North Carolina,Brunswick County,,Quote Sent to Sales
DAL,Piedmont,South Carolina,Greenville County,,Completed
DLP,,California,Corona,,Completed
DAG,,North Carolina,New Hanover County,,Completed
DNC,,California,Galt,,Completed
DAA,Palmetto,Florida,Manatee County,,Completed
DAB,Ocean Isle Beach,North Carolina,Brunswick County,,In Production
EJX,,Florida,Osceola County,"Assured Excavating Inc, Hughes Brother Construcion, TSS Civil",In Production
DOU,,Florida,Citrus County,,Completed
DDE,City of Yuma,Arizona,Yuma County,,Completed
DDP,Princeton,North Carolina,Clayton,,In Production
DED,St. Cloud,Florida,Osceola County,Cypress Gulf,Completed
DHU,,Arizona,Chandler,B&F Contracting,Completed
DHO,St. Cloud,Florida,Osceola County,WalRose,Completed
DNM,Kissimmee,Florida,TOHO,WD Site Development,Completed
DDL,,Arizona,,,Completed
DEK,,Texas,El Paso County,,Completed
DAQ,Inverness,Florida,Citrus County,,In Production
DIX,Peoria,Arizona,Maricopa County,,Completed
DEX,,South Carolina,Piedmont,,Completed
DPB,,Texas,Richardson,,Completed
DDU,St. Cloud,Florida,Osceola County,WalRose,Completed
DBO,Rocky Point,North Carolina,Pender,,Completed
DCT,Fallon,Nevada,,,Completed
DHA,St. Cloud,Florida,Osceola County,John M Hall,Completed
DHI,,Florida,Manatee County,QGS,Completed
DLA,Parrish,Florida,Manatee County,ET Makenzie Co.,Completed
DFI,City of Rowlett,Texas,City OF Rowlett,,In Production
EDY,Melbourne,Florida,Brevard County,CK Contractors & Development,Completed
DWL,Orlando,Florida,Orange County,,Completed
DPM,,Florida,Osceola County,Brockman,Completed
DBE,Mt. Pleasant,South Carolina,Alachua County,,Completed
DBN,City of Largo,Florida,Pinellas,,Completed
DBA,St. Cloud,Florida,Osceola County,,In Production
DBC,Gainesville,Florida,Alachua County,,Completed
DNE,City of Carlsbad,California,,,In Production
DIH,Lebanon,Indiana,,,Completed
DIL,,Florida,Manatee County,Wilson Site Dev,Completed
DJW,Kissimmee,Florida,TOHO,Hughes Brother Construcion,Completed
DBK,Kissimmee,Florida,Osceola County,,Completed
EFT,,Florida,Osceola County,"Blue Ox, Hughes Brother Construcion, John M Hall",In Production
DAY,,California,Placer County,,Completed
DBG,Crystal River,Florida,Citrus County,,In Production
DBH,Tucker,Georgia,Gwinnett County,,Completed
DFZ,Chandler,Arizona,,,Completed
DLG,,North Carolina,Brunswick County,,In Production
DLN,Town of Florence,Arizona,,Achen-Gardner Construction,Completed
DIA,St. Cloud,Florida,TOHO,Blue Ox,Completed
DQO,Redding,California,,,Completed
DCZ,Queen Creek,Arizona,Maricopa County,,Completed
DLC,Phoenix,Arizona,,Achen-Gardner Construction,Completed
DEV,Pace,Florida,Santa Rosa County,Roberson Underground,In Production
DOG,Melbourne,Florida,Brevard County,Gregori Construction,Completed
DMN,Parrish,Florida,Manatee County,"RIPA, The Kerney Company",Completed
DQX,Kissimmee,Florida,TOHO,"Cronin Construction, Eden Site Dev, Mercon Construction Co., Southern Development & Construction Inc., WD Site Development",Completed
DIN,,North Carolina,Brunswick County,,Completed
DBV,Gainesville,Florida,Alachua County,,Completed
DFK,Peoria,Arizona,,,Completed
DEH,Queen Creek,Arizona,,,Completed
DCG,,Texas,Collin County,,In Production
DTF,,North Carolina,Brunswick County,,Completed
DEB,Bradenton,Florida,Manatee County,Timothy Rose Contracting Inc.,Completed
